judging_session,ssr,mean_split_corr,mean_eloR,mean_eloR_weighted,elo_btm_correlation,num_pairs,num_pairs_judged,prop_pairs_judged,prop_correct_judgements
PollittX_philosophy2c,0.9627823564984932,0.8170091384437821,0.5508290001066687,0.5859767038684781,0.9069794488397397,51040,1580,0.03095611285266457,0.8908645003065604
Ramos2021_Auckland,0.9534534133046674,0.872590652014516,0.7855484652655544,0.8698292355624359,0.9994194828390001,36,36,1,0.825
Ramos2021_Rutgers,0.962879899430586,0.9017007772232583,0.7331341910456168,0.8395036251444321,0.999810931627079,36,36,1,0.7568181818181818
Sangwin2021_study1-insight,0.8885064865872072,0.7256218316415762,0.6466385297374688,0.7172401280528795,0.9998109603156143,78,77,0.9871794871794872,0.7158590308370044
Sangwin2021_study1-rigour,0.947780322539246,0.8952540438503054,0.7620771543363994,0.8674205941585831,0.9985881034219187,78,78,1,0.7945205479452054
Sangwin2021_study2-insight,0.7241966831089589,0.437722674961742,0.5699804321271151,0.6069360060958537,0.9993887172779293,105,105,1,0.6415525114155252
Sangwin2021_study2-marks,0.9221270283449504,0.8577342613907398,0.7320446259583051,0.8303937304542515,0.9984038725765381,105,101,0.961904761904762,0.7958115183246073
Sangwin2021_study2-rigour,0.9422135337064133,0.8807186688801303,0.6984728843892047,0.7949565546109506,0.999583914882411,105,104,0.9904761904761904,0.7531446540880503
Sangwin2021_study2-simple,0.9110554702776466,0.8219378143299411,0.6813726717052037,0.7620819680069056,0.9998232747337045,105,105,1,0.7357414448669202
Sangwin2021_study2-understanding,0.8449519399112512,0.6747615686235122,0.5966465928284338,0.6468991409080895,0.9998084919836586,105,105,1,0.6808510638297872
Settembri2018,0.7343324254549709,0.4549576028380271,0.62956887520341,0.7131399464268723,0.9876333847517133,3486,622,0.17842799770510614,0.7604501607717041
Smith2020,0.9320296434872012,0.7190167177062172,0.7407735686466779,0.8318516095103001,0.9996138268778356,105,105,1,0.7963917525773195
Spehar2016_expt2-Edges,0.8904222241195555,0.5067319337035023,0.5210911621743928,0.5321236545013571,0.9977033437395286,36,36,1,0.5730555555555555
Spehar2016_expt2-Fracts,0.9786962151930828,0.9121768471174063,0.5991577733728193,0.6406111908069151,0.9998946830502196,36,36,1,0.665
Spehar2016_expt2-Mountain,0.9422777256180624,0.6939252660600177,0.5401697390300264,0.559855890450127,0.9992375754062883,36,36,1,0.5972222222222222
Spehar2016_expt2-Plain,0.8515141450077206,0.41068374039210426,0.5149485978224514,0.5228412932023665,0.9960326910706536,36,36,1,0.5613888888888889
Spehar2016_expt2-Thr,0.9401587803487113,0.7192028726174898,0.538913248738083,0.5580069484364995,0.9975753667073421,36,36,1,0.5947222222222223
StadthagenGonzalez2019_eng-to-spa,0.9404675048659398,0.915524206000233,0.7241509372016303,0.794188595567409,0.9996233615424736,190,30,0.15789473684210523,0.7583333333333333
StadthagenGonzalez2019_spa-to-eng,0.893562472041577,0.8663110057530603,0.6282466508332931,0.6933102363070428,0.9997007726511461,190,30,0.15789473684210523,0.655
Vatavu2019,0.9495351785759156,0.8742125668469204,0.6469104374158876,0.7225468723727466,0.9997571632210903,1176,1146,0.9744897959183674,0.6964990138067061
Vatavu2020,0.9853436017554706,0.9620637211605593,0.6299308729195843,0.6842100641781297,0.9996869729954464,91,77,0.8461538461538461,0.6759666413949962
Zucco2019_experts,0.9771197599436846,0.9486818367979512,0.6354182230436936,0.7015053655721478,0.9974753489951202,666,391,0.5870870870870871,0.6849403418252177
Zucco2019_legislators,0.8032554931494454,0.5412220500508742,0.592859878309715,0.6385284946330796,0.8587649940200923,666,187,0.2807807807807808,0.6857142857142857
