judge,A,B,choseA,choseB
3,26,111,0,1
3,111,57,1,0
3,128,57,0,1
3,21,128,1,0
3,98,21,0,1
3,9,98,1,0
3,67,9,0,1
3,13,67,1,0
3,40,13,0,1
3,75,40,1,0
3,75,124,0,1
3,110,124,1,0
3,36,110,0,1
3,36,99,1,0
3,99,3,0,1
3,3,120,1,0
3,30,120,0,1
3,30,5,1,0
3,5,112,0,1
3,112,123,1,0
3,63,123,0,1
3,18,63,1,0
3,18,2,0,1
3,2,84,1,0
3,84,28,0,1
3,55,28,1,0
3,55,82,0,1
3,50,82,1,0
3,68,50,0,1
3,104,68,1,0
3,48,104,0,1
3,127,48,1,0
3,76,127,0,1
3,53,76,1,0
3,20,53,0,1
3,92,20,1,0
3,144,92,0,1
3,154,144,1,0
3,154,31,0,1
3,134,31,1,0
3,12,134,0,1
3,12,141,1,0
3,141,83,0,1
3,83,6,1,0
3,6,107,0,1
3,8,107,1,0
3,122,8,0,1
3,148,122,1,0
3,93,148,0,1
3,131,93,1,0
3,131,135,0,1
3,27,135,1,0
3,27,19,0,1
3,19,60,1,0
3,60,38,0,1
3,137,38,1,0
3,114,137,0,1
3,114,86,1,0
3,86,117,0,1
3,61,117,1,0
3,61,116,0,1
3,116,80,1,0
3,80,126,0,1
3,126,146,1,0
3,73,146,0,1
3,33,73,1,0
3,33,106,0,1
3,106,87,1,0
3,87,62,0,1
3,46,62,1,0
3,115,46,0,1
3,71,115,1,0
3,71,147,0,1
3,147,142,1,0
3,142,139,0,1
3,139,100,1,0
3,100,66,0,1
3,66,72,1,0
3,72,51,0,1
3,51,145,1,0
3,97,145,0,1
3,32,97,1,0
3,32,22,0,1
3,54,22,1,0
3,121,54,0,1
3,121,113,1,0
3,113,155,0,1
3,155,69,1,0
3,69,59,0,1
3,39,59,1,0
3,39,74,0,1
3,74,119,1,0
3,109,119,0,1
3,41,109,1,0
3,41,96,0,1
3,96,90,1,0
3,90,64,0,1
3,10,64,1,0
3,95,10,0,1
3,130,95,1,0
3,94,130,0,1
3,105,94,1,0
3,102,105,0,1
3,79,102,1,0
3,4,79,0,1
3,35,4,1,0
3,85,35,0,1
3,85,17,1,0
3,42,17,0,1
3,34,42,1,0
3,11,34,0,1
3,14,11,1,0
3,14,1,0,1
3,1,37,1,0
3,37,108,0,1
3,81,108,1,0
3,45,81,0,1
3,58,45,1,0
3,58,140,0,1
3,140,150,1,0
3,150,56,0,1
3,152,56,1,0
3,43,152,0,1
3,151,43,1,0
3,77,151,0,1
3,132,77,1,0
3,52,132,0,1
3,52,47,1,0
3,47,56,0,1
3,82,56,1,0
3,82,128,0,1
4,108,9,1,0
4,70,9,0,1
4,70,146,1,0
4,73,146,0,1
4,73,39,1,0
4,39,75,0,1
4,75,60,1,0
4,60,2,0,1
4,2,40,1,0
4,40,136,0,1
4,103,136,1,0
4,103,91,0,1
4,106,91,1,0
4,127,106,0,1
4,127,57,1,0
4,57,36,0,1
4,36,89,1,0
4,89,48,0,1
4,48,93,1,0
4,93,120,0,1
4,120,52,1,0
4,82,52,0,1
4,46,82,1,0
4,150,46,0,1
4,140,150,1,0
4,132,140,0,1
4,132,79,1,0
4,79,147,0,1
4,147,47,1,0
4,47,94,0,1
4,94,76,1,0
4,109,76,0,1
4,58,109,1,0
4,58,102,0,1
4,102,41,1,0
4,41,10,0,1
4,10,63,1,0
4,63,7,0,1
4,7,86,1,0
4,86,15,0,1
4,15,128,1,0
4,3,128,0,1
4,81,3,1,0
4,81,14,0,1
4,14,13,1,0
4,45,13,0,1
4,45,144,1,0
4,144,111,0,1
4,111,92,1,0
4,87,92,0,1
4,61,87,1,0
4,61,118,0,1
4,118,155,1,0
4,43,155,0,1
4,28,43,1,0
4,5,28,0,1
4,5,97,1,0
4,97,130,0,1
4,149,130,1,0
4,149,18,0,1
4,18,154,1,0
4,154,139,0,1
4,107,139,1,0
4,80,107,0,1
4,80,78,1,0
4,107,55,0,1
4,55,131,1,0
4,86,131,0,1
4,79,86,1,0
4,74,79,0,1
4,19,74,1,0
4,18,130,0,1
4,18,61,1,0
4,61,148,0,1
4,35,148,1,0
4,135,35,0,1
4,82,71,1,0
4,154,82,0,1
4,154,122,1,0
4,122,139,0,1
4,103,139,1,0
4,103,53,0,1
4,53,130,1,0
4,130,46,0,1
4,46,123,1,0
4,114,123,0,1
4,6,114,1,0
4,6,8,0,1
4,8,99,1,0
4,99,95,0,1
4,95,68,1,0
4,68,112,0,1
4,112,86,1,0
4,86,14,0,1
4,14,109,1,0
4,109,141,0,1
4,111,141,1,0
4,20,111,0,1
4,3,20,1,0
4,100,3,0,1
4,102,100,1,0
4,102,26,0,1
4,22,26,1,0
4,52,22,0,1
4,52,78,1,0
4,146,78,0,1
4,144,146,1,0
4,144,136,0,1
4,136,37,1,0
4,145,37,0,1
4,143,145,1,0
4,57,143,0,1
4,47,57,1,0
4,47,21,0,1
4,21,9,1,0
4,9,96,0,1
4,124,96,1,0
4,81,124,0,1
4,119,81,1,0
4,60,119,0,1
4,60,16,1,0
4,24,16,0,1
4,116,24,1,0
4,29,116,0,1
4,85,29,1,0
4,85,25,0,1
4,25,7,1,0
4,7,1,0,1
4,1,132,1,0
4,65,132,0,1
4,128,65,1,0
4,33,128,0,1
4,38,33,1,0
4,5,38,0,1
4,153,5,1,0
4,119,102,0,1
4,12,102,1,0
4,12,56,0,1
4,56,36,1,0
4,78,36,0,1
4,78,73,1,0
4,73,116,0,1
4,116,76,1,0
4,76,18,0,1
4,136,18,1,0
4,77,136,0,1
4,19,77,1,0
4,42,19,0,1
4,135,42,1,0
4,135,106,0,1
4,106,39,1,0
4,39,134,0,1
4,134,29,1,0
4,29,71,0,1
4,71,86,1,0
4,86,96,0,1
4,127,96,1,0
4,127,126,0,1
4,126,28,1,0
4,117,28,0,1
4,117,40,1,0
4,40,143,0,1
4,92,143,1,0
4,92,111,0,1
4,111,26,1,0
4,123,26,0,1
4,31,123,1,0
4,142,31,0,1
4,2,142,1,0
4,2,52,0,1
4,85,52,1,0
4,85,124,0,1
4,103,124,1,0
4,103,10,0,1
4,10,65,1,0
4,65,120,0,1
4,120,122,1,0
4,122,90,0,1
4,90,94,1,0
4,141,94,0,1
4,141,108,1,0
4,108,45,0,1
4,47,45,1,0
4,47,138,0,1
4,138,140,1,0
4,7,140,0,1
4,147,7,1,0
4,147,152,0,1
4,152,97,1,0
4,97,155,0,1
4,81,155,1,0
4,3,81,0,1
4,104,3,1,0
4,60,104,0,1
4,118,60,1,0
4,49,118,0,1
4,149,49,1,0
4,149,129,0,1
4,129,25,1,0
4,16,25,0,1
4,66,16,1,0
4,69,66,0,1
4,13,69,1,0
4,107,13,0,1
4,107,79,1,0
4,79,128,0,1
4,128,87,1,0
4,87,43,0,1
4,80,43,1,0
4,80,67,0,1
4,112,67,1,0
4,112,22,0,1
4,22,153,1,0
4,153,15,0,1
4,35,15,1,0
4,6,35,0,1
4,6,144,1,0
4,6,126,0,1
4,126,59,1,0
4,137,59,0,1
4,137,60,1,0
4,11,60,0,1
4,51,11,1,0
4,4,51,0,1
4,106,4,1,0
4,69,106,0,1
4,28,69,1,0
4,28,27,0,1
4,27,84,1,0
4,84,128,0,1
4,128,65,1,0
4,65,119,0,1
4,119,121,1,0
4,70,121,0,1
4,33,70,1,0
4,33,138,0,1
4,82,138,1,0
4,72,82,0,1
4,72,141,1,0
4,80,141,0,1
4,90,80,1,0
4,91,90,0,1
4,152,91,1,0
4,152,115,0,1
4,115,99,1,0
4,99,38,0,1
4,136,38,1,0
4,39,136,0,1
4,19,39,1,0
4,9,19,0,1
4,111,9,1,0
4,55,111,0,1
4,55,24,1,0
4,24,83,0,1
4,83,47,1,0
4,97,47,0,1
4,85,97,1,0
4,16,85,0,1
4,134,16,1,0
4,153,134,0,1
4,153,58,1,0
4,58,130,0,1
4,130,86,1,0
4,86,10,0,1
4,129,10,1,0
4,41,129,0,1
4,124,41,1,0
4,132,124,0,1
4,132,95,1,0
4,67,95,0,1
4,67,7,1,0
4,17,7,0,1
4,26,17,1,0
4,100,26,0,1
4,108,100,1,0
4,108,155,0,1
4,12,155,1,0
4,81,12,0,1
4,81,135,1,0
4,135,123,0,1
4,40,123,1,0
4,144,40,0,1
4,89,144,1,0
4,89,113,0,1
4,22,113,1,0
4,96,22,0,1
4,96,101,1,0
4,146,101,0,1
4,1,146,1,0
4,48,1,0,1
4,103,48,1,0
