Judge,Candidate.Chosen,Candidate.Not.Chosen,Time.Taken,Date.Created
judge1,ENGOC_J560-03_Q_8b_2,KOREA_KORG92011_Q_2_1,00:00:19,13/01/2015 17:43
judge1,ENGAQ_83003F_Q_31_4,ENGWJ_4351-01_Q_2bii_3,00:00:44,13/01/2015 17:44
judge1,HONGK_HKG2010CEP2_Q_32_2,ENGAQ_83003H_Q_23_2,00:00:22,13/01/2015 17:44
judge1,HUNGA_HNGG10BA_Q_44_3,IBO_IBOMATSDP1_Q_4a_4,00:00:41,13/01/2015 17:45
judge1,HUNGA_HNGG10BA_Q_34_4,ENGOC_J560-03_Q_14a_5,00:01:39,13/01/2015 17:47
judge1,ENGAQ_43602H_Q_7a_1,ENGAQ_83001H_Q_14b_4,00:01:00,13/01/2015 17:48
judge1,ENGWJ_4353-01_Q_3_4,ENGWJ_4352-02_Q_5d_2,00:01:08,13/01/2015 17:49
judge1,ENGED_1MA13F_Q_10b_6,ONTAR_ONTG9Appl_Q_19_3,00:00:43,13/01/2015 17:50
judge1,ONTAR_ONTG9Acad_Q_5_1,ENGAQ_83002F_Q_4_1,00:00:26,13/01/2015 17:50
judge1,ENGWJ_4352-01_Q_5d_2,SCOTL_SCOSG-GP2_Q_3_3,00:00:21,13/01/2015 17:51
judge1,SHANG_ShgQP2011_Q_15_4,ENGOC_A503-01-Q_8b_5,00:00:43,13/01/2015 17:51
judge1,ENGOC_J560-06_Q_3c_2,ENGOC_J560-01_Q_16a_3,00:00:32,13/01/2015 17:52
judge1,ENGAQ_83001H_Q_17_4,ENGAQ_43602H_Q_11_3,00:00:57,14/01/2015 12:16
judge1,ENGOC_A503-01-Q_5b_5,MASSA_MASG10-P1_Q_14_1,00:00:30,14/01/2015 12:17
judge1,ENGWJ_4353-02_Q_13b_6,ENGAQ_83003H_Q_10a_2,00:00:32,14/01/2015 12:18
judge1,ENGAQ_83002F_Q_26_4,ENGOC_J560-05_Q_4a_3,00:00:43,14/01/2015 12:18
judge1,ENGED_5MB1F01_Q_6b_3,ENGWJ_4352-01_Q_2c_1,00:01:09,14/01/2015 12:19
judge1,SCOTL_SCOSG-FP1_Q_5_3,ENGAQ_ 43601H_Q_3a_3,00:00:27,14/01/2015 12:20
judge1,ENGOC_A501-02_Q_5b_6,IBO_IBOMATSDP1_Q_3c_1,00:01:39,14/01/2015 12:22
judge1,ENGAQ_43603H_Q_19b_4,SHANG_ShgQP2011_Q_23a_4,00:00:56,14/01/2015 12:23
